         5200328070 function calls (2999431907 primitive calls) in 1603.594 seconds

   Ordered by: cumulative time
   List reduced from 7249 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004 1603.687 1603.687 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    6.438    6.438 1578.306 1578.306 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
   504000   22.054    0.000 1532.798    0.003 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:114(learn)
   503873   43.043    0.000  507.633    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(sample)
 64495744   22.089    0.000  380.398    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:152(get)
1136565184/64495744  315.086    0.000  358.309    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:127(_retrieve)
   503873   21.127    0.000  248.235    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:229(update_priorities)
 64999744   13.202    0.000  226.238    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:147(update)
  1511619    5.364    0.000  219.807    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
39832971/4761801   17.734    0.000  213.645    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
1080478080/64999744  213.036    0.000  213.036    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:121(_propagate)
39832971/4761801   25.945    0.000  210.813    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
  1511619    3.579    0.000  200.543    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
  1511619    3.460    0.000  194.740    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
  4761801    2.354    0.000  173.530    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:42(forward)
  1511619    1.108    0.000  171.891    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_tensor.py:576(backward)
  1511619    5.523    0.000  170.655    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/__init__.py:253(backward)
  1511619    1.285    0.000  170.058    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:132(maybe_fallback)
  1511619    3.898    0.000  168.334    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:903(adam)
  4761801   13.443    0.000  163.533    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/container.py:248(forward)
  1511619   52.463    0.000  157.780    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:347(_single_tensor_adam)
  1511619    1.372    0.000  154.850    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/graph.py:860(_engine_run_backward)
  1511619  153.123    0.000  153.123    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
4534857/1511619    7.162    0.000  133.470    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:39(_no_grad_wrapper)
  1511619    4.378    0.000  126.122    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:185(clip_grad_norm_)
  3023238    2.850    0.000  126.088    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:52(forward)
 14285403    6.696    0.000   83.031    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/linear.py:130(forward)
  1738563   14.056    0.000   79.556    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:36(forward)
 14285403   71.825    0.000   71.825    0.000 {built-in method torch._C._nn.linear}
  1007746   40.962    0.000   46.689    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/numpy/_core/shape_base.py:378(stack)
1156867464/1156774062   44.979    0.000   45.041    0.000 {built-in method builtins.len}
   756000    3.712    0.000   38.727    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:99(act)
 10581354    2.284    0.000   38.045    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2666(parameters)
  1511619    5.589    0.000   37.906    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:49(_get_total_norm)
 10581354    2.244    0.000   35.761    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2691(named_parameters)
 10581354    9.049    0.000   33.516    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2646(_named_members)
  1511619    7.263    0.000   31.565    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:120(_clip_grads_with_norm_)
  9523602    2.984    0.000   29.303    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/activation.py:139(forward)
 10077460   27.499    0.000   27.499    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
  9523602    3.786    0.000   26.319    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/functional.py:1712(relu)
  1511622    0.962    0.000   25.076    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
  1511622    2.833    0.000   23.284    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/eval_frame.py:1240(_fn)
  9523602   21.619    0.000   21.619    0.000 {built-in method torch.relu}
  1511619    5.896    0.000   19.321    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:1027(zero_grad)
  1511619   10.928    0.000   17.830    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:139(_init_group)
53914518/14108472   13.594    0.000   15.870    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2837(named_modules)
247614042   15.566    0.000   15.566    0.000 {method 'append' of 'list' objects}
  3023238    2.308    0.000   14.823    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/utils/_contextlib.py:120(decorate_context)
  3023238    4.092    0.000   14.536    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/profiler.py:860(__exit__)
  9069714   13.809    0.000   13.809    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
  9069714   13.802    0.000   13.802    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
        1    0.165    0.165   13.685   13.685 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:54(test)
 64495744    8.771    0.000   12.443    0.000 /opt/homebrew/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/random.py:500(uniform)
  9069714   11.587    0.000   11.587    0.000 {method 'addcdiv_' of 'torch._C.TensorBase' objects}
  1511619   11.550    0.000   11.550    0.000 {built-in method torch._foreach_norm}
  9069714    6.163    0.000   11.388    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:91(_get_value)
  9069714   11.360    0.000   11.360    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
 20810512    6.788    0.000   10.904    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/grad_mode.py:184(__init__)
  9069714   10.897    0.000   10.897    0.000 {method 'lerp_' of 'torch._C.TensorBase' objects}
 45048804    9.971    0.000    9.971    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1955(__getattr__)


