         5172947725 function calls (2979220936 primitive calls) in 1554.901 seconds

   Ordered by: cumulative time
   List reduced from 7250 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005 1554.991 1554.991 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    5.931    5.931 1529.736 1529.736 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
   504000   20.187    0.000 1484.667    0.003 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/cvar_ddpg_agent.py:48(learn)
   503873   43.154    0.000  510.362    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(sample)
 64495744   21.898    0.000  381.997    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:152(get)
1136507584/64495744  316.448    0.000  360.098    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:127(_retrieve)
   503873   21.258    0.000  250.139    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:229(update_priorities)
 64999744   13.160    0.000  227.949    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:147(update)
  1511619    5.308    0.000  218.962    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
1080420480/64999744  214.789    0.000  214.789    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:121(_propagate)
  1511619    3.664    0.000  199.881    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
  1511619    3.390    0.000  193.991    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
35801987/4257928   16.970    0.000  193.566    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
35801987/4257928   23.723    0.000  191.017    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
