         1296287048 function calls (753878407 primitive calls) in 394.890 seconds

   Ordered by: cumulative time
   List reduced from 7269 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  394.914  394.914 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    1.612    1.612  385.958  385.958 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
   126000    5.394    0.000  374.781    0.003 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:114(learn)
   125873   10.687    0.000  122.912    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(sample)
 16111744    5.048    0.000   92.186    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:152(get)
280174296/16111744   76.535    0.000   87.138    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:127(_retrieve)
   125873    5.257    0.000   60.979    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:229(update_priorities)
 16237744    3.254    0.000   55.491    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:147(update)
   377619    1.300    0.000   53.365    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
9948579/1189313    4.403    0.000   52.955    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
9948579/1189313    6.477    0.000   52.339    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
266147480/16237744   52.236    0.000   52.236    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:121(_propagate)
   377619    0.875    0.000   48.690    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
   377619    0.827    0.000   47.281    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
  1189313    0.611    0.000   43.215    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:42(forward)
   377619    0.274    0.000   42.513    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_tensor.py:576(backward)
   377619    1.371    0.000   42.206    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/__init__.py:253(backward)
   377619    0.323    0.000   41.264    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:132(maybe_fallback)
   377619    0.954    0.000   40.836    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:903(adam)
  1189313    3.368    0.000   40.693    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/container.py:248(forward)
   377619    0.328    0.000   38.282    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/graph.py:860(_engine_run_backward)
   377619   12.747    0.000   38.225    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:347(_single_tensor_adam)
   377619   37.868    0.000   37.868    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
1132857/377619    1.723    0.000   32.744    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:39(_no_grad_wrapper)
   755238    0.703    0.000   31.376    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:52(forward)
   377619    1.072    0.000   30.957    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:185(clip_grad_norm_)
  3567939    1.692    0.000   20.611    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/linear.py:130(forward)
