         430355180 function calls (254184485 primitive calls) in 129.424 seconds

   Ordered by: cumulative time
   List reduced from 7272 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  129.433  129.433 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    0.501    0.501  124.139  124.139 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
    42000    1.664    0.000  120.371    0.003 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/cvar_ddpg_agent.py:48(learn)
    41873    3.600    0.000   39.993    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(sample)
  5359744    1.429    0.000   29.967    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:152(get)
91312724/5359744   25.042    0.000   28.538    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:127(_retrieve)
    41873    1.765    0.000   20.096    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:229(update_priorities)
  5401744    1.090    0.000   18.254    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:147(update)
   125619    0.444    0.000   18.217    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
86635908/5401744   17.164    0.000   17.164    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:121(_propagate)
   125619    0.298    0.000   16.611    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
2974790/353795    1.320    0.000   16.150    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
   125619    0.292    0.000   16.125    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
2974790/353795    1.993    0.000   15.940    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
   125619    0.116    0.000   14.069    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:132(maybe_fallback)
   125619    0.330    0.000   13.915    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:903(adam)
   353795    0.178    0.000   13.041    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:42(forward)
   125619    4.341    0.000   13.021    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:347(_single_tensor_adam)
   353795    1.004    0.000   12.291    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/container.py:248(forward)
   125619    0.092    0.000   11.678    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_tensor.py:576(backward)
   125619    0.465    0.000   11.575    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/__init__.py:253(backward)
376857/125619    0.583    0.000   11.095    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:39(_no_grad_wrapper)
   125619    0.374    0.000   10.506    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:185(clip_grad_norm_)
   125619    0.110    0.000   10.249    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/graph.py:860(_engine_run_backward)
   125619   10.110    0.000   10.110    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
   209365    0.200    0.000    8.852    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:52(forward)
   144430    1.164    0.000    6.691    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:36(forward)
  1061385    0.506    0.000    6.250    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/linear.py:130(forward)
  1061385    5.406    0.000    5.406    0.000 {built-in method torch._C._nn.linear}
93651209/93550159    3.690    0.000    3.707    0.000 {built-in method builtins.len}
    83746    2.878    0.000    3.344    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/numpy/_core/shape_base.py:378(stack)
    63000    0.296    0.000    3.244    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:99(act)
   879354    0.191    0.000    3.204    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2666(parameters)
   125619    0.466    0.000    3.141    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:49(_get_total_norm)
   879354    0.187    0.000    3.012    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2691(named_parameters)
        3    0.007    0.002    3.002    1.001 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:65(save_result)
   125622    0.082    0.000    2.857    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
   879354    0.757    0.000    2.825    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2646(_named_members)
   125619    0.613    0.000    2.627    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:120(_clip_grads_with_norm_)
   837460    2.261    0.000    2.261    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
   707590    0.220    0.000    2.168    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/activation.py:139(forward)
   125622    0.238    0.000    1.954    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/eval_frame.py:1240(_fn)
   707590    0.298    0.000    1.948    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/functional.py:1712(relu)
   125619    0.495    0.000    1.621    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:1027(zero_grad)
   707590    1.579    0.000    1.579    0.000 {built-in method torch.relu}
   125619    0.901    0.000    1.473    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:139(_init_group)
        3    0.002    0.001    1.454    0.485 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:91(step_frame)
4480518/1172472    1.165    0.000    1.354    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2837(named_modules)
 20807997    1.317    0.000    1.317    0.000 {method 'append' of 'list' objects}
     4000    0.008    0.000    1.264    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:56(step_frame)
     4011    0.005    0.000    1.263    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/frame.py:702(__init__)
     4001    0.030    0.000    1.244    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/internals/construction.py:375(dict_to_mgr)
   251238    0.352    0.000    1.223    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/profiler.py:860(__exit__)
   251238    0.192    0.000    1.218    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/utils/_contextlib.py:120(decorate_context)
        1    0.017    0.017    1.197    1.197 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:54(test)
   753714    1.132    0.000    1.132    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
   753714    1.120    0.000    1.120    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
  5359744    0.730    0.000    1.037    0.000 /opt/homebrew/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/random.py:500(uniform)
   125619    0.966    0.000    0.966    0.000 {built-in method torch._foreach_norm}
