         5174197990 function calls (2981003241 primitive calls) in 1545.318 seconds

   Ordered by: cumulative time
   List reduced from 7252 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 1545.416 1545.416 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    5.850    5.850 1519.250 1519.250 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
   504000   20.016    0.000 1474.439    0.003 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/cvar_ddpg_agent.py:48(learn)
   503873   42.878    0.000  506.984    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(sample)
 64495744   21.362    0.000  380.552    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:152(get)
1136240361/64495744  315.761    0.000  359.190    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:127(_retrieve)
   503873   21.184    0.000  247.911    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:229(update_priorities)
 64999744   13.104    0.000  225.846    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:147(update)
  1511619    5.305    0.000  216.913    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
1080153257/64999744  212.742    0.000  212.742    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:121(_propagate)
  1511619    3.619    0.000  197.816    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
35798450/4257535   16.431    0.000  193.465    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
  1511619    3.392    0.000  192.011    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
35798450/4257535   23.702    0.000  191.112    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
