         2517063 function calls (2456827 primitive calls) in 1.402 seconds

   Ordered by: cumulative time
   List reduced from 7159 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.404    1.404 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        3    0.000    0.000    0.737    0.246 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:65(save_result)
        3    0.000    0.000    0.710    0.237 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:122(_save_figures)
   3592/9    0.002    0.000    0.628    0.070 <frozen importlib._bootstrap>:1360(_find_and_load)
    837/9    0.002    0.000    0.628    0.070 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
    803/8    0.001    0.000    0.627    0.078 <frozen importlib._bootstrap>:914(_load_unlocked)
    799/8    0.001    0.000    0.627    0.078 <frozen importlib._bootstrap_external>:756(exec_module)
  2405/13    0.001    0.000    0.626    0.048 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
   1136/8    0.045    0.000    0.624    0.078 {built-in method builtins.exec}
   978/79    0.001    0.000    0.622    0.008 <frozen importlib._bootstrap>:1401(_handle_fromlist)
    774/9    0.000    0.000    0.622    0.069 {built-in method builtins.__import__}
        1    0.000    0.000    0.616    0.616 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:10(__init__)
        1    0.000    0.000    0.616    0.616 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:44(__init__)
        3    0.000    0.000    0.608    0.203 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:35(__init__)
        3    0.000    0.000    0.608    0.203 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:380(__init__)
        3    0.000    0.000    0.608    0.203 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
        1    0.000    0.000    0.608    0.608 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/__init__.py:1(<module>)
        1    0.000    0.000    0.563    0.563 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/aot_compile.py:1(<module>)
        1    0.000    0.000    0.558    0.558 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
        1    0.000    0.000    0.549    0.549 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/symbolic_convert.py:1(<module>)
        1    0.000    0.000    0.293    0.293 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/exc.py:1(<module>)
        1    0.000    0.000    0.291    0.291 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/utils.py:1(<module>)
        6    0.000    0.000    0.289    0.048 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:1245(savefig)
        6    0.000    0.000    0.289    0.048 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/figure.py:3334(savefig)
        6    0.000    0.000    0.289    0.048 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:2051(print_figure)
        1    0.000    0.000    0.272    0.272 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/fx/experimental/symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.254    0.254 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/sympy/__init__.py:1(<module>)
        1    0.000    0.000    0.243    0.243 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/trace_rules.py:1(<module>)
       12    0.000    0.000    0.230    0.019 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/artist.py:92(draw_wrapper)
  1470/12    0.002    0.000    0.230    0.019 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/artist.py:53(draw_wrapper)
       12    0.000    0.000    0.230    0.019 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/figure.py:3237(draw)
    24/12    0.000    0.000    0.228    0.019 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)
       12    0.000    0.000    0.227    0.019 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axes/_base.py:3161(draw)
      799    0.002    0.000    0.210    0.000 <frozen importlib._bootstrap_external>:829(get_code)
        1    0.000    0.000    0.205    0.205 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/variables/__init__.py:1(<module>)
        1    0.000    0.000    0.204    0.204 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/variables/base.py:1(<module>)
        1    0.000    0.000    0.182    0.182 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/variables/builder.py:1(<module>)
       30    0.000    0.000    0.170    0.006 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axis.py:1337(get_tightbbox)
       12    0.000    0.000    0.169    0.014 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:2042(<lambda>)
       12    0.000    0.000    0.169    0.014 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
       12    0.000    0.000    0.169    0.014 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
        6    0.000    0.000    0.167    0.028 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:2835(tight_layout)
        6    0.000    0.000    0.167    0.028 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/figure.py:3608(tight_layout)
        6    0.000    0.000    0.167    0.028 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/layout_engine.py:168(execute)
        6    0.000    0.000    0.166    0.028 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:871(figure)
        6    0.000    0.000    0.166    0.028 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:548(new_figure_manager)
        6    0.000    0.000    0.164    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/_tight_layout.py:194(get_tight_layout_figure)
        6    0.000    0.000    0.163    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/_tight_layout.py:20(_auto_adjust_subplotpars)
     18/6    0.000    0.000    0.163    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/artist.py:1395(_get_tightbbox_for_layout_only)
        6    0.000    0.000    0.163    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axes/_base.py:4508(get_tightbbox)
        6    0.000    0.000    0.153    0.026 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:3497(new_figure_manager)
        6    0.000    0.000    0.152    0.025 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:3506(new_figure_manager_given_figure)
        6    0.000    0.000    0.152    0.025 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:1774(new_manager)
        6    0.063    0.011    0.152    0.025 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:2648(create_with_canvas)
      186    0.004    0.000    0.146    0.001 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axis.py:1276(_update_ticks)
        1    0.000    0.000    0.143    0.143 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/side_effects.py:1(<module>)
        1    0.000    0.000    0.136    0.136 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/sympy/polys/__init__.py:1(<module>)
      799    0.001    0.000    0.131    0.000 <frozen importlib._bootstrap_external>:950(get_data)
       24    0.000    0.000    0.124    0.005 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axis.py:1396(draw)
       12    0.000    0.000    0.115    0.010 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:375(draw)


