         2432786 function calls (2376242 primitive calls) in 1.346 seconds

   Ordered by: cumulative time
   List reduced from 7159 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.347    1.347 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        3    0.000    0.000    0.664    0.221 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:65(save_result)
   3592/9    0.002    0.000    0.648    0.072 <frozen importlib._bootstrap>:1360(_find_and_load)
    837/9    0.002    0.000    0.648    0.072 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
    803/8    0.003    0.000    0.646    0.081 <frozen importlib._bootstrap>:914(_load_unlocked)
    799/8    0.001    0.000    0.646    0.081 <frozen importlib._bootstrap_external>:756(exec_module)
  2405/13    0.001    0.000    0.645    0.050 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
   1136/8    0.045    0.000    0.643    0.080 {built-in method builtins.exec}
   978/79    0.001    0.000    0.643    0.008 <frozen importlib._bootstrap>:1401(_handle_fromlist)
    774/9    0.000    0.000    0.642    0.071 {built-in method builtins.__import__}
        3    0.000    0.000    0.638    0.213 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:122(_save_figures)
        1    0.000    0.000    0.634    0.634 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:10(__init__)
        1    0.000    0.000    0.634    0.634 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:44(__init__)
        3    0.000    0.000    0.626    0.209 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:35(__init__)
        3    0.000    0.000    0.626    0.209 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:380(__init__)
        3    0.000    0.000    0.626    0.209 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
        1    0.000    0.000    0.625    0.625 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/__init__.py:1(<module>)
        1    0.000    0.000    0.579    0.579 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/aot_compile.py:1(<module>)
        1    0.000    0.000    0.573    0.573 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
        1    0.000    0.000    0.564    0.564 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/symbolic_convert.py:1(<module>)
        1    0.000    0.000    0.297    0.297 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/exc.py:1(<module>)
        1    0.000    0.000    0.296    0.296 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/utils.py:1(<module>)
        1    0.000    0.000    0.277    0.277 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/fx/experimental/symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.259    0.259 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/sympy/__init__.py:1(<module>)
        1    0.000    0.000    0.253    0.253 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/trace_rules.py:1(<module>)
        6    0.000    0.000    0.238    0.040 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:1245(savefig)
        6    0.000    0.000    0.238    0.040 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/figure.py:3334(savefig)
        6    0.000    0.000    0.238    0.040 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:2051(print_figure)
        1    0.000    0.000    0.215    0.215 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/variables/__init__.py:1(<module>)
        1    0.000    0.000    0.214    0.214 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/variables/base.py:1(<module>)
      799    0.002    0.000    0.212    0.000 <frozen importlib._bootstrap_external>:829(get_code)
        1    0.000    0.000    0.191    0.191 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/variables/builder.py:1(<module>)
       12    0.000    0.000    0.187    0.016 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/artist.py:92(draw_wrapper)
  1314/12    0.002    0.000    0.187    0.016 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/artist.py:53(draw_wrapper)
       12    0.000    0.000    0.187    0.016 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/figure.py:3237(draw)
    24/12    0.000    0.000    0.185    0.015 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)
       12    0.000    0.000    0.185    0.015 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axes/_base.py:3161(draw)
        6    0.000    0.000    0.180    0.030 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:871(figure)
        6    0.000    0.000    0.180    0.030 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:548(new_figure_manager)
        6    0.000    0.000    0.164    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:3497(new_figure_manager)
        6    0.000    0.000    0.163    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:3506(new_figure_manager_given_figure)
        6    0.000    0.000    0.163    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:1774(new_manager)
        6    0.076    0.013    0.163    0.027 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:2648(create_with_canvas)
        1    0.000    0.000    0.149    0.149 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/side_effects.py:1(<module>)
       12    0.000    0.000    0.144    0.012 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:2042(<lambda>)
       12    0.000    0.000    0.144    0.012 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
       12    0.000    0.000    0.144    0.012 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
        1    0.000    0.000    0.141    0.141 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/sympy/polys/__init__.py:1(<module>)
        6    0.000    0.000    0.140    0.023 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:2835(tight_layout)
        6    0.000    0.000    0.139    0.023 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/figure.py:3608(tight_layout)
        6    0.000    0.000    0.139    0.023 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/layout_engine.py:168(execute)
       30    0.000    0.000    0.137    0.005 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axis.py:1337(get_tightbbox)
