         432443139 function calls (255707448 primitive calls) in 135.044 seconds

   Ordered by: cumulative time
   List reduced from 7278 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  135.053  135.053 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    0.545    0.545  129.847  129.847 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
    42000    1.859    0.000  125.972    0.003 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:113(learn)
    41873    3.636    0.000   40.739    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:155(sample)
  5359744    1.604    0.000   30.321    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:115(get)
91303375/5359744   25.214    0.000   28.717    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:90(_retrieve)
    41873    1.768    0.000   20.102    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(update_priorities)
   125619    0.446    0.000   18.282    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
  5401744    1.098    0.000   18.258    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:110(update)
3309297/395615    1.485    0.000   17.876    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
3309297/395615    2.152    0.000   17.646    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
86626559/5401744   17.160    0.000   17.160    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:84(_propagate)
   125619    0.299    0.000   16.675    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
   125619    0.292    0.000   16.189    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
   125619    0.092    0.000   14.559    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_tensor.py:576(backward)
   395615    0.213    0.000   14.520    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:41(forward)
   125619    0.471    0.000   14.456    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/__init__.py:253(backward)
   125619    0.111    0.000   14.124    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:132(maybe_fallback)
   125619    0.328    0.000   13.978    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:903(adam)
   395615    1.119    0.000   13.667    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/container.py:248(forward)
   125619    0.112    0.000   13.103    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/graph.py:860(_engine_run_backward)
   125619    4.371    0.000   13.089    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:347(_single_tensor_adam)
   125619   12.962    0.000   12.962    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
376857/125619    0.590    0.000   11.206    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:39(_no_grad_wrapper)
   125619    0.373    0.000   10.588    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:185(clip_grad_norm_)
   251238    0.253    0.000   10.562    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:51(forward)
  1186845    0.545    0.000    6.938    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/linear.py:130(forward)
   144377    1.178    0.000    6.668    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:35(forward)
  1186845    6.021    0.000    6.021    0.000 {built-in method torch._C._nn.linear}
93641404/93540345    3.697    0.000    3.714    0.000 {built-in method builtins.len}
    83746    3.146    0.000    3.623    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/numpy/_core/shape_base.py:378(stack)
    63000    0.306    0.000    3.270    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:98(act)
   879354    0.191    0.000    3.209    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2666(parameters)
   125619    0.473    0.000    3.190    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:49(_get_total_norm)
        3    0.007    0.002    3.100    1.033 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:65(save_result)
   879354    0.188    0.000    3.018    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2691(named_parameters)
   879354    0.766    0.000    2.829    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2646(_named_members)
   125622    0.079    0.000    2.706    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
   125619    0.618    0.000    2.642    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:120(_clip_grads_with_norm_)
   791230    0.242    0.000    2.468    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/activation.py:139(forward)
   837460    2.233    0.000    2.233    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
   791230    0.332    0.000    2.226    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/functional.py:1712(relu)
   125622    0.242    0.000    1.972    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/eval_frame.py:1240(_fn)
   791230    1.815    0.000    1.815    0.000 {built-in method torch.relu}
   125619    0.506    0.000    1.633    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:1027(zero_grad)
   125619    0.911    0.000    1.487    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:139(_init_group)
        3    0.002    0.001    1.465    0.488 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:107(step_frame)
4480518/1172472    1.153    0.000    1.345    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2837(named_modules)
 20807309    1.303    0.000    1.303    0.000 {method 'append' of 'list' objects}
     4000    0.009    0.000    1.281    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:72(step_frame)
     4011    0.005    0.000    1.280    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/frame.py:702(__init__)
     4001    0.031    0.000    1.261    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/internals/construction.py:375(dict_to_mgr)
   251238    0.192    0.000    1.247    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/utils/_contextlib.py:120(decorate_context)
   251238    0.342    0.000    1.214    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/profiler.py:860(__exit__)
        1    0.016    0.016    1.199    1.199 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:54(test)
   753714    1.144    0.000    1.144    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
   753714    1.124    0.000    1.124    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
  5359744    0.748    0.000    1.079    0.000 /opt/homebrew/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/random.py:500(uniform)
   125619    0.974    0.000    0.974    0.000 {built-in method torch._foreach_norm}
   753714    0.530    0.000    0.970    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:91(_get_value)


