         462170499 function calls (282542759 primitive calls) in 159.372 seconds

   Ordered by: cumulative time
   List reduced from 7280 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  159.382  159.382 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    0.741    0.741  154.166  154.166 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
    42000    3.118    0.000  150.032    0.004 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/skew_ddpg_agent.py:46(learn)
    41873    3.690    0.000   41.041    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:155(sample)
  5359744    1.642    0.000   30.502    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:115(get)
91301385/5359744   25.354    0.000   28.860    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:90(_retrieve)
   167492    0.585    0.000   24.153    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
4314249/521234    1.974    0.000   23.463    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
4314249/521234    2.907    0.000   23.178    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
   167492    0.401    0.000   22.014    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
   167492    0.385    0.000   21.368    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
   167492    0.121    0.000   20.825    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_tensor.py:576(backward)
   167492    0.628    0.000   20.689    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/__init__.py:253(backward)
    41873    1.806    0.000   20.258    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(update_priorities)
   521234    0.275    0.000   19.364    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:41(forward)
   167492    0.150    0.000   18.922    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/graph.py:860(_engine_run_backward)
   167492   18.734    0.000   18.734    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
   167492    0.144    0.000   18.625    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:132(maybe_fallback)
   167492    0.429    0.000   18.431    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:903(adam)
  5401744    1.111    0.000   18.377    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:110(update)
   521234    1.400    0.000   18.219    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/container.py:248(forward)
86624569/5401744   17.266    0.000   17.266    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:84(_propagate)
   167492    5.729    0.000   17.259    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:347(_single_tensor_adam)
   376857    0.349    0.000   15.831    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:51(forward)
502476/167492    0.779    0.000   14.750    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:39(_no_grad_wrapper)
   167492    0.493    0.000   13.949    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:185(clip_grad_norm_)
  1563702    0.736    0.000    9.453    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/linear.py:130(forward)
  1563702    8.219    0.000    8.219    0.000 {built-in method torch._C._nn.linear}
   144377    1.185    0.000    6.796    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:35(forward)
  1172472    0.250    0.000    4.250    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2666(parameters)
   167492    0.613    0.000    4.168    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:49(_get_total_norm)
  1172472    0.248    0.000    4.000    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2691(named_parameters)
94085535/93984476    3.736    0.000    3.753    0.000 {built-in method builtins.len}
  1172472    1.003    0.000    3.752    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2646(_named_members)
    83746    3.214    0.000    3.699    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/numpy/_core/shape_base.py:378(stack)
   167492    0.805    0.000    3.502    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:120(_clip_grads_with_norm_)
   167496    0.103    0.000    3.308    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
    63000    0.311    0.000    3.301    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:98(act)
  1042468    0.335    0.000    3.251    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/activation.py:139(forward)
        3    0.008    0.003    3.151    1.050 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:65(save_result)
  1130571    2.962    0.000    2.962    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
  1042468    0.419    0.000    2.917    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/functional.py:1712(relu)
   167496    0.312    0.000    2.577    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/eval_frame.py:1240(_fn)
  1084341    2.436    0.000    2.436    0.000 {built-in method torch.relu}
   167492    0.655    0.000    2.141    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:1027(zero_grad)
   167492    1.215    0.000    1.983    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:139(_init_group)
5904234/1549338    1.551    0.000    1.797    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2837(named_modules)
   334984    0.253    0.000    1.623    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/utils/_contextlib.py:120(decorate_context)
   334984    0.462    0.000    1.618    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/profiler.py:860(__exit__)
  1004952    1.509    0.000    1.509    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
  1004952    1.496    0.000    1.496    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
        3    0.002    0.001    1.455    0.485 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:107(step_frame)
 22105706    1.419    0.000    1.419    0.000 {method 'append' of 'list' objects}
  1004952    1.287    0.000    1.287    0.000 {method 'addcdiv_' of 'torch._C.TensorBase' objects}
   167492    1.284    0.000    1.284    0.000 {built-in method torch._foreach_norm}
  1004952    1.268    0.000    1.268    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
  1004952    0.685    0.000    1.266    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:91(_get_value)
     4000    0.009    0.000    1.247    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:72(step_frame)
     4011    0.005    0.000    1.247    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/frame.py:702(__init__)
     4001    0.030    0.000    1.227    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/internals/construction.py:375(dict_to_mgr)


