         462161975 function calls (282517170 primitive calls) in 161.018 seconds

   Ordered by: cumulative time
   List reduced from 7282 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  161.028  161.028 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    0.759    0.759  155.816  155.816 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
    42000    3.173    0.000  151.553    0.004 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/skew_ddpg_agent.py:46(learn)
    41873    3.748    0.000   41.153    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:155(sample)
  5359744    1.654    0.000   30.515    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:115(get)
91310622/5359744   25.354    0.000   28.861    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:90(_retrieve)
   167492    0.600    0.000   24.621    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
4314249/521234    1.979    0.000   23.797    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
4314249/521234    2.918    0.000   23.511    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
   167492    0.409    0.000   22.441    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
   167492    0.391    0.000   21.785    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
   167492    0.128    0.000   21.235    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_tensor.py:576(backward)
   167492    0.641    0.000   21.092    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/__init__.py:253(backward)
