         462231867 function calls (282590297 primitive calls) in 162.458 seconds

   Ordered by: cumulative time
   List reduced from 7280 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  162.468  162.468 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        1    0.787    0.787  157.263  157.263 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:34(train)
    42000    3.219    0.000  152.960    0.004 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/skew_ddpg_agent.py:46(learn)
    41873    3.791    0.000   41.562    0.001 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:155(sample)
  5359744    1.654    0.000   30.802    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:115(get)
91307469/5359744   25.596    0.000   29.147    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:90(_retrieve)
   167492    0.617    0.000   24.826    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:512(wrapper)
4314249/521234    1.955    0.000   23.937    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
4314249/521234    2.938    0.000   23.642    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1783(_call_impl)
   167492    0.405    0.000   22.621    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:60(_use_grad)
   167492    0.396    0.000   21.971    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:214(step)
   167492    0.125    0.000   21.454    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_tensor.py:576(backward)
   167492    0.644    0.000   21.314    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/__init__.py:253(backward)
    41873    1.837    0.000   20.356    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:192(update_priorities)
   521234    0.261    0.000   19.714    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:41(forward)
   167492    0.152    0.000   19.499    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/graph.py:860(_engine_run_backward)
   167492   19.307    0.000   19.307    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
   167492    0.144    0.000   19.185    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:132(maybe_fallback)
   167492    0.437    0.000   18.992    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:903(adam)
   521234    1.506    0.000   18.581    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/container.py:248(forward)
  5401744    1.128    0.000   18.447    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:110(update)
   167492    5.896    0.000   17.799    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:347(_single_tensor_adam)
86630653/5401744   17.320    0.000   17.320    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:84(_propagate)
   376857    0.356    0.000   16.114    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/_rl_common.py:51(forward)
502476/167492    0.788    0.000   15.070    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:39(_no_grad_wrapper)
   167492    0.503    0.000   14.255    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:185(clip_grad_norm_)
  1563702    0.727    0.000    9.648    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/linear.py:130(forward)
  1563702    8.397    0.000    8.397    0.000 {built-in method torch._C._nn.linear}
   144377    1.242    0.000    6.957    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:35(forward)
   167492    0.638    0.000    4.321    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:49(_get_total_norm)
  1172472    0.258    0.000    4.267    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2666(parameters)
  1172472    0.257    0.000    4.009    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2691(named_parameters)
94091933/93990874    3.782    0.000    3.798    0.000 {built-in method builtins.len}
  1172472    1.016    0.000    3.753    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2646(_named_members)
    83746    3.214    0.000    3.706    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/numpy/_core/shape_base.py:378(stack)
   167492    0.834    0.000    3.604    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/utils/clip_grad.py:120(_clip_grads_with_norm_)
   167496    0.105    0.000    3.449    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
    63000    0.333    0.000    3.388    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:98(act)
  1042468    0.322    0.000    3.308    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/activation.py:139(forward)
  1130571    3.135    0.000    3.135    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
        3    0.008    0.003    3.068    1.023 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:65(save_result)
