         2462587 function calls (2405070 primitive calls) in 1.341 seconds

   Ordered by: cumulative time
   List reduced from 7169 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.342    1.342 /Users/alexd/Documents/GitHub/deep-hedging/main.py:96(_run_pipeline)
        3    0.000    0.000    0.716    0.239 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:65(save_result)
        3    0.000    0.000    0.692    0.231 /Users/alexd/Documents/GitHub/deep-hedging/src/persistence/run_store.py:122(_save_figures)
   3592/9    0.002    0.000    0.598    0.066 <frozen importlib._bootstrap>:1360(_find_and_load)
    837/9    0.002    0.000    0.597    0.066 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
    803/8    0.001    0.000    0.597    0.075 <frozen importlib._bootstrap>:914(_load_unlocked)
    799/8    0.001    0.000    0.597    0.075 <frozen importlib._bootstrap_external>:756(exec_module)
  2405/13    0.001    0.000    0.596    0.046 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
   1136/8    0.044    0.000    0.594    0.074 {built-in method builtins.exec}
   978/79    0.001    0.000    0.593    0.008 <frozen importlib._bootstrap>:1401(_handle_fromlist)
    774/9    0.000    0.000    0.593    0.066 {built-in method builtins.__import__}
        1    0.000    0.000    0.578    0.578 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:10(__init__)
        1    0.000    0.000    0.577    0.577 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_agents/ddpg_agent.py:43(__init__)
        3    0.000    0.000    0.570    0.190 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:35(__init__)
        3    0.000    0.000    0.570    0.190 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:380(__init__)
        3    0.000    0.000    0.570    0.190 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_compile.py:42(inner)
        1    0.000    0.000    0.569    0.569 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/__init__.py:1(<module>)
        1    0.000    0.000    0.524    0.524 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/aot_compile.py:1(<module>)
        1    0.000    0.000    0.519    0.519 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
