split,episode_idx,n_steps,total_cost,mean_step_cost,std_step_cost,total_trade_cost,total_liquidation_cost,mean_loss
train,0,63,362.9052134250356,5.760400213095803,7.994101831431913,436.10521243656814,14.343984405638857,
train,1,63,649.9539152632539,10.316728813702442,14.108388311012078,589.3539805770671,18.840222045335555,
train,2,63,479.0969647133963,7.604713725609464,9.81729145451496,531.9902743918448,4.941646236036016,1.7879977514666896
train,3,63,553.5468703900556,8.786458260159613,10.138957774169608,624.6117477259302,2.2715701695179855,1.6175983160261125
train,4,63,590.1572629029488,9.367575601634107,9.557575840807097,600.0621368515823,5.086667629349971,1.4786293506622314
train,5,63,478.3862932903827,7.593433226831471,6.649091472304332,498.9288794222352,0.5763229990951074,1.3396916181322127
train,6,63,534.8353505505563,8.489450008738988,8.547713802821702,525.9442314212986,1.1087022746854773,1.2748888939146013
train,7,63,328.7850710033885,5.218810650847437,10.27281915020467,493.8137972958076,14.262278721913807,1.2846131249079629
train,8,63,544.1052023685887,8.636590513787121,19.157542196501748,414.9894805535378,12.067637644923506,1.4187650699464103
train,9,63,769.0863233372896,12.207719418052216,18.44605856127261,592.92954271572,10.08882082771538,1.7752553735460554
train,10,63,452.5840035029314,7.183873071475102,19.145167593851543,497.5827660208499,16.391339222588094,3.3313307459392245
train,11,63,331.8886112518026,5.268073194473057,8.463249963919544,482.3698815251546,13.106325758365447,3.4295620501987516
train,12,63,564.2700141045732,8.956666890548782,8.028450196987388,553.4324188321926,15.124929356908504,3.675011506156316
train,13,63,663.534241387881,10.532289545839381,9.836475627848731,597.1497093265772,19.667046194125625,3.577487514132545
train,14,63,806.121492110652,12.79557923985162,13.112793778316172,666.5961321203051,6.457223194087252,3.1974322871556358
train,15,63,391.25528057914977,6.210401279034123,12.58033677801091,430.23921521271564,9.277192942175107,3.565091689427694
train,16,63,546.2832756946626,8.671163106264485,8.85203447521406,479.78408266051,10.100664926374678,4.218288614636376
train,17,63,471.56025324612784,7.4850833848591725,7.64316925079329,451.9880362662441,19.136413823951187,4.14842450807965
train,18,63,454.84110168988286,7.2197000268235385,11.509044983020233,474.80257800257317,7.094692557360198,4.071306985522074
train,19,63,605.6601393801673,9.6136530060344,8.724418058781053,622.0080815310351,21.354211103508487,3.81028351708064
train,20,63,546.3425867325635,8.672104551310532,9.25225294221781,487.36635446468995,13.172061821137975,3.8371113671196833
train,21,63,536.6420375254371,8.518127579768844,17.108593305611603,531.6509077694964,14.373467689382858,3.9522254731920032
train,22,63,460.4711441049887,7.309065779444265,7.793425384522014,553.0687711706748,11.979588896930572,4.442950010299683
train,23,63,538.3466162599334,8.545184385078308,14.658301669506015,568.8101890286274,5.718883759452802,4.697598510318333
train,24,63,578.7522989816265,9.186544428279785,11.120613028817258,545.8082616762929,14.348381159990018,4.524359218657962
train,25,63,588.6531958652922,9.343701521671305,15.975526930768845,495.9836282074515,3.7439524616303146,4.54344377820454
train,26,63,654.6578369092044,10.391394236654039,14.184186686498018,519.455802050039,19.670074464549877,5.877178631131611
train,27,63,562.4099883615139,8.927142672404983,13.333440197548068,474.09099779459694,7.2253297736883395,6.14742250291128
train,28,63,511.95532047829573,8.126274928226916,17.656929701086803,447.0062925604226,13.695203118882509,6.73204088967944
train,29,63,344.18914083975045,5.463319695869054,10.747468366943373,443.07699418260427,22.5783576019845,6.886296544756208
train,30,63,380.9913156506812,6.047481200804464,9.005128826250745,446.1302159153529,3.258467602534552,6.8007367224920365
train,31,63,491.7808450812081,7.806045160019176,14.168325651745226,557.422858778646,19.706903655759895,7.399830689505925
train,32,63,492.6578920601128,7.819966540636711,14.070121768874523,552.2014233351435,13.460236725427928,8.241335513099791
